Q,cp,cf
860.8321364,6.84E-05,0.010099627
156.5547263,0.010168069,0.010099627
121.725219,0.020267696,0.010099627
103.0733216,0.030367324,0.010099627
90.89707756,0.040466951,0.010099627
81.55251818,0.050566579,0.010099627
73.62380114,0.060666206,0.010099627
67.11092642,0.070765834,0.010099627
62.2970625,0.080865461,0.010099627
57.76636705,0.090965089,0.010099627
53.23567159,0.101064716,0.010099627
49.77458416,0.111164343,0.010099627
46.43962841,0.121263971,0.010099627
43.89111222,0.131363598,0.010099627
41.34259602,0.141463226,0.010099627
38.51091137,0.151562853,0.010099627
36.24556364,0.161662481,0.010099627
33.98021591,0.171762108,0.010099627
31.99803665,0.181861736,0.010099627
30.29902585,0.191961363,0.010099627
28.31684659,0.20206099,0.010099627
26.64958339,0.212160618,0.010099627
25.23031031,0.222260245,0.010099627
23.92773537,0.232359873,0.010099627
22.73842781,0.2424595,0.010099627
21.60575395,0.252559128,0.010099627
20.58634747,0.262658755,0.010099627
19.59525784,0.272758383,0.010099627
18.6608019,0.28285801,0.010099627
17.75466281,0.292957637,0.010099627
16.82020688,0.303057265,0.010099627
16.05565202,0.313156892,0.010099627
15.29109716,0.32325652,0.010099627
14.63980969,0.333356147,0.010099627
13.98193844,0.343455775,0.010099627
13.28060105,0.353555402,0.010099627
12.65763043,0.36365503,0.010099627
12.0346598,0.373754657,0.010099627
11.38337233,0.383854284,0.010099627
10.84535224,0.393953912,0.010099627
10.22238162,0.404053539,0.010099627
9.740995228,0.414153167,0.010099627
9.287925682,0.424252794,0.010099627
8.80653929,0.434352422,0.010099627
8.325152898,0.444452049,0.010099627
7.944150083,0.454551677,0.010099627
7.532281193,0.464651304,0.010099627
7.220795881,0.474750931,0.010099627
6.880993722,0.484850559,0.010099627
6.541191563,0.494950186,0.010099627
6.250001263,0.505049814,0.010099627
5.946537784,0.515149441,0.010099627
5.663369318,0.525249069,0.010099627
5.408517699,0.535348696,0.010099627
5.125349233,0.545448323,0.010099627
4.89881446,0.555547951,0.010099627
4.672279688,0.565647578,0.010099627
4.474061762,0.575747206,0.010099627
4.275843835,0.585846833,0.010099627
4.105942756,0.595946461,0.010099627
3.82277429,0.606046088,0.010099627
3.624556364,0.616145716,0.010099627
3.426338438,0.626245343,0.010099627
3.256437358,0.63634497,0.010099627
3.058219432,0.646444598,0.010099627
2.866555311,0.656544225,0.010099627
2.718417273,0.666643853,0.010099627
2.57683304,0.67674348,0.010099627
2.435248807,0.686843108,0.010099627
2.349435128,0.696942735,0.010099627
2.208714034,0.707042363,0.010099627
2.095446648,0.71714199,0.010099627
1.953862415,0.727241617,0.010099627
1.812278182,0.737341245,0.010099627
1.699010796,0.747440872,0.010099627
1.614060256,0.7575405,0.010099627
1.529109716,0.767640127,0.010099627
1.472476023,0.777739755,0.010099627
1.387525483,0.787839382,0.010099627
1.33089179,0.79793901,0.010099627
1.274258097,0.808038637,0.010099627
1.217624403,0.818138264,0.010099627
1.16099071,0.828237892,0.010099627
1.104357017,0.838337519,0.010099627
1.047723324,0.848437147,0.010099627
0.962772784,0.858536774,0.010099627
0.877822244,0.868636402,0.010099627
0.792871705,0.878736029,0.010099627
0.736238011,0.888835657,0.010099627
0.679604318,0.898935284,0.010099627
0.622970625,0.909034911,0.010099627
0.538020085,0.919134539,0.010099627
0.481386392,0.929234166,0.010099627
0.453069545,0.939333794,0.010099627
0.396435852,0.949433421,0.010099627
0.368119006,0.959533049,0.010099627
0.339802159,0.969632676,0.010099627
0.311485313,0.979732304,0.010099627
0.253617808,0.989831931,0.010099627
0.144415918,0.999931558,6.84E-05
