link_id,swat_sub,feature,to_node,us_area,contrib_area,slope,link_len,wetland_area,fainN,fainC,routing_depth,is_hw,pEM
1,103,1,3,4779000,3517200,0.007404,2806.2,0,0.62627,0.065738,42,0,0
2,103,1,3,877500,124200,0.00217,513.23,0,0.87987,0.0839,42,0,0
3,103,1,582,6597900,941400,0.001849,925.16,0,0.4162,0.14424,41,0,0
4,99,1,19,4558500,4558500,0.002747,1642.2,0,0.26108,0.0016068,33,1,0
5,99,1,19,3631500,3631500,0.001738,2314,0,0.76751,0.089311,33,1,0
6,101,1,13,711000,711000,0.002946,981.15,0,0.89864,0.0059028,31,1,0
7,102,1,13,10555200,10555200,0.001233,2145,0,0.72281,0.0067293,31,1,0
8,101,1,14,3357900,3357900,0.003932,1344.4,0,0.81251,0.00667,30,1,0
9,101,1,12,10022400,10022400,0.003897,987.89,0,0.6125,0.019379,31,1,0
10,101,1,12,3636000,3636000,0.004085,2011.6,0,0.75266,0.019599,31,1,0
11,101,1,14,598500,87300,0.003422,442.41,0,0.88898,0,30,0,0
12,101,1,15,14145300,486900,0.002179,901.62,0,0.8387,0.042066,30,0,0
13,101,1,15,14864400,3598200,0.001326,2047.9,0,0.88886,0.0037983,30,0,0
14,101,1,51,11115000,7158600,0.001693,4314.3,0,0.76789,0.0080221,29,0,0
15,101,1,51,29012400,2700,0.001774,39.44,0,0.93813,0.061866,29,0,0
16,82,1,17,6468300,6468300,0.00209,3614,0,0.67094,0.0026228,35,1,0
17,82,1,25,12708900,6240600,0.002836,3870,0,0.9215,0.0077378,34,0,0
18,82,1,25,5410800,5410800,0.003085,3853.4,0,0.88859,0.0087285,34,1,0
19,99,1,20,14331600,6141600,0.001077,2745.3,0,0.5685,0.017403,32,0,0
20,99,1,45,16443900,2112300,0.004113,2463.6,0,0.89621,0.011368,31,0,0
21,99,1,22,43988400,43988400,0.000552,3957,0,0.64937,0.0063989,32,1,0
22,99,1,45,53366400,9378000,0.000952,3232.7,0,0.58218,0.0092337,31,0,0
23,100,1,24,12538800,7981200,0.001645,3063.9,0,0.38982,0.012933,43,0,0
24,100,1,35,17385300,4846500,0.001119,3280.2,0,0.46853,0.012952,42,0,0
25,82,1,64,20048400,1928700,0.002099,2316.5,0,0.70507,0.025068,33,0,0
26,82,1,27,10622700,10622700,0.003456,2987.9,0,0.86876,0.010019,34,1,0
27,82,1,64,12942000,2319300,0.002271,2852.7,0,0.95592,0.01813,33,0,0
28,88,1,35,9434700,9434700,0.001593,2228.6,0,0.89557,0.0064189,42,1,0
29,93,1,552,9668700,534600,0.002957,811.09,0,0.45348,0.12663,29,0,0
30,91,1,31,4468500,4468500,0.001628,2583.8,0,0.32981,0.092496,37,1,0
31,91,1,50,7641900,3173400,0.004314,2463.9,0,0.86887,0.014245,36,0,0
32,91,1,34,8436600,5133600,0.00195,3959.1,0,0.9024,0.016993,38,0,0
33,91,1,50,23864400,5031000,0.002838,4112.6,0,0.85114,0.027846,36,0,0
34,91,1,33,18833400,10396800,0.002004,4275.3,0,0.8547,0.0069962,37,0,0
35,88,1,47,29159100,2339100,0.002012,2691,0,0.69275,0.055437,41,0,0
36,87,1,37,7902900,7902900,0.0001,3794.8,0,0.85475,0.025202,28,1,0
37,87,1,57,15163200,7260300,0.001508,3925.5,0,0.77839,0.029362,27,0,0
38,88,1,47,2175300,2175300,0.003277,1724.2,0,0.87882,0.0079,41,1,0
39,95,1,104,6022800,6022800,0.000657,1697,0,0.81888,0.0044839,38,1,0
40,93,1,552,11799900,11799900,0.001542,1123.9,0,0.44345,0.018341,29,1,0
41,87,1,57,7016400,7016400,0.001772,4852.1,0,0.75304,0.03228,27,1,0
42,93,1,552,10200600,10200600,0.004535,1371.1,0,0.82226,0.022058,29,1,0
43,95,1,44,35505000,4436100,0.001079,2989.9,0,0.51283,0.020426,39,0,0
44,95,1,104,38159100,2654100,0.001572,2642.1,0,0.74393,0.022358,38,0,0
45,99,1,61,82170900,12360600,0.000672,4671.4,0,0.54092,0.020871,30,0,0
46,90,1,61,4663800,2277900,0.001754,1217.7,0,0.82928,0.013725,30,0,0
47,88,1,83,31948200,613800,0.000194,1313.6,0,0.79273,0.16298,40,0,0
48,88,1,83,7536600,7536600,0.002594,4691.3,0,0.76535,0.010886,40,1,0
49,91,1,54,10914300,5288400,0.0012,4332.2,0,0.70418,0.045578,35,0,0
50,91,1,54,36221400,4715100,0.002212,4592,0,0.73289,0.010074,35,0,0
51,101,1,52,46890900,6763500,0.000789,4393.6,0,0.59282,0.01418,28,0,0
52,97,1,56,53936100,7045200,0.001395,4447.2,0,0.2588,0.029845,27,0,0
53,93,1,56,61833600,1796400,0.00118,2473,0,0.67412,0.038652,27,0,0
54,91,1,69,48408300,1272600,0.000976,833.89,0,0.76853,0.0048773,34,0,0
55,93,1,552,13108500,13108500,0.001572,4003,0,0.66548,0.015413,29,1,0
56,87,1,75,116202600,432900,0.000213,726.13,0,0.25377,0.066397,26,0,0
57,87,1,75,27445500,5265900,0.00083,3977.4,0,0.75982,0.029001,26,0,0
